State,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,
Alabama,9.3,9.3,9.2,9.3,9.6,9.9,10,9.9,9.8,9.3,8.7,8.1,9.36666666666667
Alaska,7.7,7.6,7.4,7.3,7.4,7.5,7.7,7.7,7.6,7.4,7.3,7.3,7.49166666666667
Arizona,9.6,9.6,9.5,9.3,9.1,9.3,9.4,9.3,9.1,9,8.7,8.7,9.21666666666667
Arkansas,7.8,7.8,7.8,7.7,7.8,8.1,8.2,8.3,8.3,8.2,8,7.7,7.975
California,12.4,12.2,12,11.9,11.7,11.8,12,12.1,11.9,11.7,11.3,11.1,11.8416666666667
Colorado,9.1,9.3,9.2,8.8,8.7,8.5,8.5,8.5,8.3,8.1,8,7.9,8.575
Connecticut,9,9,9.1,9.1,9.1,9.1,9.1,9,8.9,8.7,8.4,8.2,8.89166666666667
Delaware,8.5,8.5,8.4,8.2,8,8,8.1,8.1,8.1,7.9,7.6,7.4,8.06666666666667
D.C.,9.6,9.5,9.5,9.6,9.8,10.4,10.8,11.1,11.1,11,10.6,10.4,10.2833333333333
Florida,11.9,11.5,11.1,10.8,10.6,10.6,10.7,10.7,10.6,10.3,10,9.9,10.725
Georgia,10.4,10.2,10,9.9,9.8,9.9,10.1,10.2,10.3,10.2,9.9,9.7,10.05
Hawaii,6.3,6.3,6.3,6.1,6,6,6.1,6.2,6.4,6.5,6.5,6.6,6.275
Idaho,9.7,9.7,9.7,9.6,9.4,9.4,9.4,9.2,9,8.8,8.5,8.4,9.23333333333333
Illinois,9,8.9,8.8,8.7,8.9,9.2,9.5,9.9,10,10.1,10,9.8,9.4
Indiana,9.1,8.8,8.5,8.2,8.2,8.3,8.5,8.7,8.9,9,9,9,8.68333333333333
Iowa,6.1,6.1,6.1,6,6,6,6,6.1,6,6,5.7,5.6,5.975
Kansas,6.8,6.8,6.8,6.7,6.6,6.6,6.5,6.7,6.7,6.7,6.5,6.3,6.64166666666667
Kentucky,10.4,10.4,10.2,10,9.8,9.6,9.5,9.5,9.7,9.6,9.4,9.1,9.76666666666667
Louisiana,7.8,7.9,8.1,8.1,8.2,7.8,7.6,7.2,6.9,7,6.9,6.8,7.525
Maine,7.5,7.5,7.6,7.6,7.7,7.8,7.7,7.6,7.5,7.3,7,7,7.48333333333333
Maryland,7.2,7.1,6.9,6.8,6.8,7,7.2,7.3,7.4,7.2,6.9,6.7,7.04166666666667
Massachusetts,8.3,8.2,8,7.8,7.6,7.6,7.6,7.4,7.3,7.3,7,6.8,7.575
Michigan,10.7,10.4,10.3,10.2,10.3,10.5,10.9,11.2,11.1,10.6,9.8,9.3,10.4416666666667
Minnesota,6.7,6.7,6.6,6.5,6.6,6.7,7.2,7.2,6.9,6.4,5.9,5.7,6.59166666666667
Mississippi,10.1,10.2,10.2,10.4,10.3,10.3,10.4,10.3,10.6,10.6,10.5,10.4,10.3583333333333
Missouri,9.6,9.4,9.1,8.9,8.9,8.8,8.7,8.8,8.7,8.5,8.2,8,8.8
Montana,7.5,7.4,7.4,7.3,7.3,7.5,7.7,7.8,7.7,7.6,7.1,6.8,7.425
Nebraska,4.2,4.3,4.2,4.2,4.1,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.16666666666667
Nevada,14.2,13.6,13.2,12.5,12.1,12.4,12.9,13.4,13.4,13.4,13,12.6,13.0583333333333
