State,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,
Alabama,6.1,6.4,6.7,6.9,6.8,6.8,7,6.9,6.6,6.3,6,5.7,6.51666666666667
Alaska,6.4,6.5,6.6,6.4,6.4,6.4,6.5,6.8,6.8,6.8,6.6,6.3,6.54166666666667
Arizona,7.5,7.3,7.3,6.9,6.8,6.9,7,7.1,6.9,6.8,6.8,6.7,7
Arkansas,7.3,7.1,6.9,6.6,6.4,6.2,6.2,6.3,6.2,6,5.8,5.7,6.39166666666667
California,8.1,8,8.1,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.2,7,7.55
Colorado,6.1,6.1,6.2,6,5.8,5.5,5.3,5.1,4.7,4.3,4.1,4,5.26666666666667
Connecticut,7.2,7,7,6.9,6.9,6.7,6.6,6.6,6.4,6.4,6.5,6.4,6.71666666666667
Delaware,6.1,6,5.9,5.8,5.9,6.1,6.2,6.5,6.5,6.4,6,5.4,6.06666666666667
D.C.,7.4,7.4,7.5,7.5,7.5,7.4,7.4,7.6,7.7,7.6,7.4,7.3,7.475
Florida,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.1,6,5.8,5.6,6.10833333333333
Georgia,7.3,7.1,7,7,7.2,7.4,7.7,8.1,7.9,7.7,7.2,6.9,7.375
Hawaii,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4,4,4.325
Idaho,5.4,5.3,5.2,5,4.9,4.7,4.8,4.7,4.5,4.1,3.9,3.7,4.68333333333333
Illinois,8.7,8.7,8.4,7.9,7.5,7.1,6.8,6.7,6.6,6.6,6.4,6.2,7.3
Indiana,6.4,6.1,5.9,5.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.8,5.85833333333333
Iowa,4.3,4.4,4.5,4.3,4.4,4.4,4.5,4.5,4.6,4.5,4.3,4.1,4.4
Kansas,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.9,4.8,4.4,4.3,4.2,4.71666666666667
Kentucky,7.7,7.8,7.9,7.7,7.7,7.4,7.4,7.1,6.7,6.2,6,5.7,7.10833333333333
Louisiana,4.9,4.5,4.5,4.5,4.9,5,5.4,5.8,6,6.2,6.5,6.7,5.40833333333333
Maine,6.2,6.1,5.9,5.7,5.7,5.5,5.5,5.6,5.8,5.8,5.7,5.5,5.75
Maryland,5.8,5.7,5.6,5.5,5.6,5.8,6.1,6.4,6.3,6,5.6,5.5,5.825
Massachusetts,6.8,6.5,6.3,6,5.6,5.5,5.6,5.8,6,6,5.8,5.5,5.95
Michigan,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.4,7.2,7.1,6.7,6.3,7.31666666666667
Minnesota,4.7,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.1,3.9,3.7,3.6,4.35
Mississippi,7.5,7.4,7.6,7.5,7.7,7.9,8,7.9,7.7,7.6,7.3,7.2,7.60833333333333
Missouri,6,6.4,6.7,6.6,6.6,6.5,6.5,6.3,6.3,5.9,5.6,5.4,6.23333333333333
Montana,5.3,5.1,5.1,4.8,4.6,4.5,4.6,4.7,4.6,4.5,4.3,4.2,4.69166666666667
Nebraska,3.5,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.4,3.1,2.9,3.475
Nevada,8.7,8.5,8.5,8,7.9,7.7,7.7,7.6,7.3,7.1,6.9,6.8,7.725
New Hampshire,4.9,4.7,4.5,4.4,4.4,4.4,4.4,4.4,5.2,4.2,4.1,4,4.46666666666667
New Jersey,7.1,7.1,7.2,6.9,6.8,6.6,6.5,6.6,6.5,6.6,6.4,6.2,6.70833333333333
New Mexico,6.6,6.7,7,6.8,6.5,6.5,6.6,6.7,6.6,6.5,6.4,6.1,6.58333333333333
