State,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,
Alabama,6.9,7.2,7.2,6.9,6.8,6.5,6.3,6.3,6.4,6.5,6.2,6.1,6.60833333333333
Alaska,6.7,6.5,6.2,6,5.9,6.1,6.3,6.5,6.5,6.5,6.4,6.4,6.33333333333333
Arizona,8,7.9,7.9,7.9,7.8,8,8,8.3,8.3,8.2,7.8,7.6,7.975
Arkansas,7.2,7.2,7.2,7.1,7.3,7.3,7.4,7.4,7.4,7.5,7.5,7.4,7.325
California,9.8,9.6,9.4,9,8.6,8.5,8.7,8.9,8.7,8.7,8.5,8.3,8.89166666666667
Colorado,7.3,7.2,7.1,6.9,6.9,7,7.1,7,6.9,6.8,6.5,6.2,6.90833333333333
Connecticut,8.1,8,8,8,8,8.1,8.1,8.1,8,7.9,7.6,7.4,7.94166666666667
Delaware,7.2,7.2,7.3,7.2,7.2,7.3,7.4,7.3,7,6.8,6.5,6.2,7.05
D.C.,8.6,8.6,8.5,8.5,8.5,8.5,8.6,8.7,8.6,8.9,8.6,8.1,8.55833333333333
Florida,7.8,7.7,7.5,7.2,7.1,7.1,7.1,7,6.8,6.7,6.4,6.2,7.05
Georgia,8.7,8.6,8.4,8.2,8.3,8.6,8.8,8.7,8.3,8.1,7.6,7.4,8.30833333333333
Hawaii,5.2,5.2,5.1,4.9,4.7,4.6,4.5,4.3,4.3,4.4,4.4,4.5,4.675
Idaho,6.3,6.2,6.2,6.1,6.2,6.4,6.6,6.8,6.8,6.7,6.1,5.7,6.34166666666667
Illinois,9,9.5,9.5,9.3,9.1,9.2,9.2,9.2,9.1,8.9,8.7,8.6,9.10833333333333
Indiana,8.6,8.7,8.7,8.5,8.3,8.4,8.4,8.1,7.8,7.5,7.3,6.9,8.1
Iowa,5,5,4.9,4.7,4.6,4.6,4.8,4.9,4.7,4.6,4.3,4.2,4.69166666666667
Kansas,5.5,5.5,5.6,5.5,5.7,5.8,5.9,5.9,5.7,5.6,5.1,4.9,5.55833333333333
Kentucky,7.9,7.9,8,7.9,8.1,8.4,8.5,8.4,8.3,8.4,8.2,8,8.16666666666667
Louisiana,5.9,6,6.2,6.5,6.8,7,7,7,6.8,6.5,6.3,5.7,6.475
Maine,7.3,7.3,7.1,6.9,6.8,6.8,6.9,7,6.9,6.7,6.4,6.2,6.85833333333333
Maryland,6.7,6.6,6.6,6.5,6.7,7,7.1,7,6.7,6.7,6.4,6.1,6.675
Massachusetts,6.7,6.5,6.4,6.4,6.6,7,7.2,7.2,7.1,7.2,7.1,7,6.86666666666667
Michigan,8.9,8.8,8.5,8.4,8.4,8.7,8.8,9,9,9,8.8,8.4,8.725
Minnesota,5.6,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5,4.8,4.6,4.6,5.13333333333333
Mississippi,9.3,9.6,9.4,9.1,9.1,9,8.5,8.5,8.5,8.5,8.3,8,8.81666666666667
Missouri,6.5,6.7,6.7,6.6,6.8,6.9,7.1,7.2,6.9,6.5,6.1,5.9,6.65833333333333
Montana,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.2,5.39166666666667
Nebraska,3.8,3.8,3.8,3.7,3.8,4,4.2,4.2,4.1,3.9,3.7,3.6,3.88333333333333
Nevada,9.7,9.6,9.7,9.6,9.5,9.6,9.5,9.5,9.4,9.3,9,8.8,9.43333333333333
New Hampshire,5.8,5.8,5.7,5.5,5.3,5.2,5.1,5,5,5.1,5.1,5.1,5.30833333333333
New Jersey,9.5,9.3,9,8.7,8.6,8.7,8.6,8.5,8.4,8.4,7.8,7.3,8.56666666666667
New Mexico,6.6,6.8,6.9,6.7,6.7,6.8,6.9,6.8,6.7,6.6,6.4,6.4,6.69166666666667
New York,8.4,8.4,8.2,7.8,7.6,7.5,7.5,7.6,7.6,7.7,7.4,7.1,7.73333333333333
North Carolina,9.5,9.4,9.2,8.9,8.8,8.8,8.9,8.7,8.3,8,7.4,6.9,8.56666666666667
North Dakota,3.3,3.3,3.3,3.3,3.2,3.1,3,3,2.8,2.7,2.6,2.6,3.01666666666667
Ohio,7,7,7.1,7,7,7.2,7.2,7.3,7.4,7.5,7.4,7.2,7.19166666666667
Oklahoma,5.1,5,5,4.9,5,5.2,5.3,5.3,5.4,5.5,5.4,5.4,5.20833333333333
Oregon,8.4,8.4,8.2,8,7.8,7.9,8,8.1,7.8,7.7,7.3,7,7.88333333333333
Pennsylvania,8.2,8.1,7.9,7.6,7.5,7.5,7.5,7.7,7.6,7.5,7.3,6.9,7.60833333333333
Rhode Island,9.8,9.4,9.1,8.8,8.9,8.9,8.9,9.1,9.2,9.2,9,9.1,9.11666666666667
South Carolina,8.7,8.6,8.4,8,8,8.1,8.1,8.1,7.9,7.5,7.1,6.6,7.925
South Dakota,4.4,4.4,4.3,4.1,4,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.95
Tennessee,7.7,7.8,7.9,8,8.3,8.5,8.5,8.5,8.4,8.4,8.1,7.8,8.15833333333333
Texas,6.3,6.4,6.4,6.4,6.5,6.5,6.5,6.4,6.3,6.2,6.1,6,6.33333333333333
Utah,5.4,5.2,4.9,4.7,4.6,4.7,4.6,4.7,4.7,4.6,4.3,4.1,4.70833333333333
Vermont,4.7,4.4,4.1,4,4.1,4.4,4.6,4.6,4.6,4.5,4.4,4.2,4.38333333333333
Virginia,5.6,5.6,5.3,5.2,5.3,5.5,5.7,5.8,5.6,5.6,5.4,5.2,5.48333333333333
Washington,7.5,7.5,7.3,7,6.8,6.8,6.9,7,6.9,7,6.8,6.6,7.00833333333333
West Virginia,7.4,7.3,7,6.6,6.2,6.1,6.2,6.3,6.2,6.2,6,5.9,6.45
Wisconsin,7,7.2,7.1,7.1,7,6.8,6.8,6.7,6.6,6.5,6.3,6.2,6.775
Wyoming,4.9,4.9,4.9,4.8,4.6,4.6,4.6,4.6,4.5,4.6,4.4,4.4,4.65
