item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T23,1592489,20784,29500,35059,26579,104698,79664,5200,3030,94,17026,26569,599,39984,40354,19362,29246,30568,28455,30789,16731,17883,5532,63237,64581,2731,34369,32517,14608,12817,11233,14062,25610,45235,34310,19306,37695,21082,53978,74654,1988,18284,29866,38848,110051,29813,7833,27763,43864,12957,67572,33919
T24,25574579,219393,38000,228970,163023,3996089,504010,224287,54287,36751,1552251,366897,186742,177260,1695934,294209,610762,219463,207617,133362,108845,492753,464428,1060521,741938,158029,289124,144973,104287,196610,102438,642537,239344,1387731,714464,119473,769085,719518,539474,900127,22793,223783,82947,301635,2227996,184078,71626,477126,603519,4329,493293,76448
T25,2618199,33730,X,31373,21825,296160,36751,48719,6738,5079,117146,108475,349,11187,116222,237329,16750,20189,16836,14277,10935,36597,99051,58711,47452,15272,17356,8573,10838,30859,8305,55873,12441,158562,134435,4226,78821,26963,37973,71765,4911,8686,5410,56063,137372,15414,9550,40558,119671,114005,40113,2303
T27,1253310,14346,838,0,8351,674660,14717,X,104,X,25516,X,20804,57166,4723,X,12035,4981,X,11678,X,X,X,30983,934,7292,19842,12,X,X,21540,6961,1710,19380,20640,6,27863,3,14577,80661,2401,10236,X,6108,20542,X,X,X,22587,406,88707,X
T28,14759165,57222,46957,159454,143422,5027281,39628,133427,105868,49003,177077,82123,41566,79026,469273,43437,153278,81617,130826,99581,110986,228582,324481,162342,499122,129892,143496,107039,35843,242794,205209,485336,42804,127046,314770,59907,943758,788,353372,901143,58915,120849,114821,330149,517411,53264,20955,202087,323654,9761,437933,30590
T29,1424462,0,3315,1748,1891,27005,168,4682,5886,48834,10261,24849,11305,3807,27885,81976,8568,2606,5382,4258,8621,1827,183439,230735,60266,59368,74122,10674,1056,4670,964,1019,0,1494,31223,0,48704,725,7133,20316,4363,18410,23649,9068,169269,4602,3463,4208,161678,3657,1313,0
T40,344284337,3624542,X,3968884,2781458,80753345,6485602,7557153,1112368,1907862,X,10439534,2116130,1521238,12642673,5218166,3553325,2231902,4282080,2866456,1551637,8517529,14430331,9202587,10732570,1800053,6023701,1181042,2244719,X,93958,13355992,1043515,46504528,12042957,351125,8169197,3324654,7611745,11932232,1236194,3869342,X,323952,X,3374535,729986,12237996,X,1848866,7486676,X
T41,46131286,473736,67457,570548,450159,9902185,626109,765492,318152,556468,2272230,981002,108169,188996,2742812,1034367,376865,391877,606840,171579,137492,1129008,2333892,1052320,1515697,463111,328736,118969,307672,X,573653,2229487,89708,4181811,1066511,103069,33235,327783,633871,2456231,144269,408297,33736,1538649,X,333358,129899,752689,X,116305,986785,X
T50,5134027,X,X,X,3,330,X,195157,9350,53967,140,0,49613,X,325230,872,88759,1,51247,X,27198,261922,399429,1,182499,4,56,X,X,X,X,769688,1,1364261,4493,X,2154,273,125969,933140,75288,X,X,62471,X,X,12509,222,136035,X,1745,0
T51,9187931,46150,X,17328,38844,X,X,167132,89527,444195,2662080,142,66091,X,76976,X,20825,X,3255,X,28324,200858,307450,275553,226485,X,12102,X,14292,81683,163310,513694,X,1299841,67888,X,X,17871,2379,562623,21058,114061,185,219188,X,X,35627,368747,945026,11987,65154,X
T53,7955868,58474,336801,15196,48340,68500,84079,X,X,X,35180,X,X,5303,X,1013,X,49727,149403,456267,X,X,X,23637,49711,39194,9,164373,2527,102686,X,X,861653,X,1961,1550122,35383,330824,13590,X,X,X,8967,1444,2347708,52823,X,2468,39731,414253,10562,593959
T99,2835125,0,0,57537,27158,76885,0,802,1115,61064,0,150672,0,3306,0,0,0,0,0,0,0,212700,0,0,85460,0,83,3568,0,561778,0,0,2,1414414,0,0,0,0,0,23695,0,0,0,19252,0,0,4499,114584,0,0,12911,3640
