item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,18315142,362515,111736,943008,1097908,2513157,X,X,X,2416604,X,961881,X,X,60814,10699,1410,663841,577544,62273,35425,748389,5818,2060543,849824,26725,30892,278497,123,280055,405186,4638,37777,X,X,3910,X,X,20587,43124,2544,32670,X,X,X,X,1056323,30367,2062065,6957,170537,338776
T09,293245571,2648616,X,6945654,3314363,39189007,2840173,3752793,X,1343192,22418257,5480196,3206154,1559332,11344480,7306331,3162854,3240354,3462704,3186614,1359190,4504242,6089860,9263616,5583910,3297760,3536396,X,1783498,4266267,X,9267703,1934883,13534170,7187844,1017269,12226504,2471242,X,10221593,973585,3192331,1065451,7006376,32131385,2083671,371365,3931717,13560382,1282003,5058789,641495
T10,6628299,217790,42430,72281,55164,368699,43407,56345,20274,6468,396418,190536,50590,9235,287865,48310,22423,133709,139248,63356,18741,31627,83395,156499,88352,42352,36849,31907,30520,45098,12850,138799,37777,299931,378744,9026,100712,120099,18375,373004,20399,173138,17808,174340,1191961,51563,25025,268547,347642,17782,58970,1919
T11,7618581,0,10306,3830,56031,X,116374,305057,X,X,202942,X,X,X,787519,604588,298017,331,229,702573,53255,650293,66844,112867,56310,133847,367814,60392,5800,930045,538,209417,73000,1231,0,3406,269267,20963,X,1395968,X,36662,9256,X,29780,X,X,83,X,43545,201,X
T12,20453309,339719,64400,545124,192020,2561932,277647,208895,96279,106887,705400,428700,157900,87727,424959,235024,119571,305631,145250,518906,102528,552526,406796,329805,457876,317659,400734,98463,65465,310223,108013,605447,223494,1539422,503407,65113,579408,322604,65903,820513,113993,223416,66496,885037,2171362,133157,59055,485018,534663,159208,196543,27991
T13,43808325,579588,48773,898234,479879,5000539,667037,467749,125453,25332,2611492,1655028,92591,337335,1354039,845384,689693,450633,750034,622234,245053,1017769,766553,1017267,901156,443578,717178,186083,342004,315897,152086,554473,248781,1612425,1936102,196837,1855699,463962,517757,2971950,90032,574513,189321,897608,3500210,419727,77404,895589,1457933,383874,1043282,115175
T14,123427,1226,X,160,2616,14537,620,6038,69,X,6921,X,X,3666,6420,1958,3666,X,4993,4338,1562,1173,1326,3802,522,X,X,44,160,3,633,X,1240,19778,X,1566,5628,1162,1980,10350,1070,X,375,X,6954,X,X,X,1840,3068,0,1963
T15,13159202,687928,4027,22337,X,714623,X,298858,55394,186497,2408133,X,152760,1876,1585911,214976,35236,406,64681,8618,21674,137537,X,29026,54,1602,X,43995,49288,23357,53427,964738,28866,914309,122,46455,1156646,46168,14951,1310130,103971,28164,3103,8268,605487,24351,9012,121749,489225,107719,368724,4823
T16,18089262,178547,67918,317331,230527,840034,201187,350723,111762,30451,1223029,219870,124890,50574,844928,443210,227901,146552,245581,121200,141464,395266,640839,946468,650042,145931,101944,86289,61258,174663,203102,677216,81824,1247078,286286,30757,1008798,316471,270199,962110,144403,28138,70782,263739,1479863,119717,80418,178847,450805,194732,649538,24060
T19,39815812,560976,22992,159895,259472,2912809,842957,1072447,129962,85154,1323834,435054,531017,71201,1888144,988412,38596,47337,790400,123402,134446,1648997,655680,1472032,2382425,395065,141349,55301,24725,282224,427403,755539,167478,5621673,857389,126395,1028505,15728,542017,1218756,217985,268838,105568,468879,5253772,199633,408978,998351,793541,472965,387394,2720
T20,636695,4086,1471,7416,4624,57406,7367,9356,1584,7855,9132,3983,X,1662,13097,12871,15468,3672,6616,X,5445,1446,3450,18655,2580,1306,5359,3374,648,X,17263,4199,0,61706,25140,381,42501,1224,4543,17741,72,11675,1027,1467,74711,2669,431,13297,143858,1038,1823,X
T21,548851,X,0,X,473,16767,821,230,306,X,18000,X,X,289,15442,5912,33156,6379,324,X,590,1415,14916,X,1161,35337,2178,7576,1589,88907,322,42181,418,X,184,756,37833,156410,2834,11820,197,7135,6617,254,19874,X,26,129,6630,2918,545,X
T22,5681746,225949,X,18342,26703,75066,19541,28878,1274897,32764,315059,51050,1765,2502,363019,9769,46695,27173,109321,106104,10100,103860,26922,23574,8201,144283,13430,4282,16213,75726,59010,247721,26533,24047,609823,X,237487,55082,34825,80943,5131,88702,5049,773374,137109,586,3444,61138,35739,632,20357,13826
