item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T20,667230,4086,1314,8921,4787,58202,7840,9204,2034,5724,7005,3975,X,1878,17021,12582,15442,2668,6638,X,6698,1486,3634,19204,2611,1228,5304,2325,715,X,17263,4199,0,62334,26601,381,42978,1360,4706,34222,143,13601,1166,1644,68608,7186,485,14115,150772,1038,1902,X
T21,544801,X,0,X,462,22212,723,231,312,X,14000,X,X,260,15491,5782,31770,7950,277,X,586,2780,14825,X,1195,24566,31,4666,534,85047,322,47211,577,X,197,1123,36094,158766,2858,12672,222,6918,6573,240,18492,X,26,104,14807,3432,467,X
T22,5863557,173265,X,41357,28106,74365,17638,29791,1304919,31107,238350,56999,1723,2693,364482,9488,45765,19732,110072,125998,10577,109767,26645,24509,8551,129167,2678,4594,6260,77101,63123,234436,30013,26241,826889,X,263294,52963,37421,18752,5281,68181,5049,871205,140776,476,3894,62961,39776,632,22546,13949
T23,1621226,22956,32868,35849,26912,104176,75573,5603,3249,97,15166,27000,567,42886,40808,18902,28832,30961,28532,30684,16579,18043,5482,63756,63665,2243,33083,63097,15861,13447,11233,13720,30779,44172,33438,18370,38186,20344,55759,74991,1691,17907,29866,37869,103550,30622,7394,28762,41287,12295,67571,34543
T24,26174747,219393,42400,215991,158446,4261054,536975,235105,57982,38935,1374140,364255,187986,187156,1728151,284202,637933,224198,208389,83002,109723,501360,438855,1236380,790116,158099,288210,156956,110538,213455,102438,667056,196303,1403555,831878,119853,840327,726335,539474,928512,26788,229898,82947,306047,2237042,205060,76905,481146,551517,4329,496295,71657
T25,2584825,33730,X,31074,25521,222241,41502,46805,6771,6207,164813,112419,316,11460,114629,229689,14444,32757,16827,13987,11025,37616,96905,58838,46489,13464,15888,7533,10975,30521,8305,58005,5374,138696,129086,4101,87659,27304,38851,70067,4589,6770,5410,61268,140863,16602,8914,41186,120953,114005,40053,2318
T27,1369744,14346,9316,540,9157,779990,13245,X,125,X,24526,X,17352,54947,18025,X,12292,4972,X,6182,X,X,X,33180,681,7437,19937,10,X,X,21540,7360,1438,11068,19182,5,38590,4,14577,83718,2454,10268,X,5087,21556,X,X,X,22401,406,83830,X
T28,14930468,60763,50612,170700,129289,4999288,54671,111366,120843,53126,180240,81354,48633,78716,465109,36207,158098,95358,125994,104207,109737,193485,290524,167908,500603,78606,147569,105463,36916,242142,199851,516093,43208,126505,346082,70152,901294,856,367539,997941,64367,146152,114821,343298,537912,55350,25169,223721,337794,9761,465569,39506
T29,1495823,0,2544,1602,1879,4444,117,3447,6973,45803,8910,26895,12647,3706,30267,84690,2973,2484,3718,4258,9835,1854,235292,228545,63408,80111,75900,10958,992,4814,964,1979,0,1494,35960,0,52356,726,6651,19934,4926,19191,23649,8837,164102,8600,4262,4654,169076,3657,5739,0
T40,353137071,3624543,X,4131621,2767767,84196751,6791929,7959492,1180975,1958277,X,10977693,2095601,1660248,13256769,5435292,3655462,2327652,4394185,2949939,1534866,9066709,14724277,9404825,10956205,1798856,6149468,1180344,2228486,X,65467,13958119,1043515,44631769,12086332,319507,8377450,2974890,8379225,12063782,1238928,4142276,X,249977,X,3794676,743630,13052887,X,1813866,7792543,X
T41,45171018,520113,87775,368136,396989,10112520,528543,897247,246175,554245,2383783,971898,184840,216641,2877499,1025498,432020,386966,458650,291321,175239,1001934,2196474,1195399,1227028,407913,307443,124821,264440,X,573653,2109930,89708,4026353,757041,60871,8833,157936,633046,2344344,129732,340327,30728,1726223,X,326592,111186,826961,X,116305,959699,X
T50,4757809,X,X,X,198,1360,X,218789,2156,41215,644,0,18968,X,280940,1571,84649,0,46345,X,11718,227940,336633,26,129657,3502,0,X,X,X,X,748630,0,1190881,713,X,743,177,198363,931908,70601,X,X,14904,X,X,16670,8202,167972,X,1733,1
T51,9754170,46150,X,17613,43255,X,X,177725,98889,460901,2798324,1,94537,X,76555,X,20825,X,3530,X,32188,214581,323869,310149,245089,X,12191,X,16462,90479,163310,565736,X,1312358,74722,X,X,19505,2062,577586,22526,117141,185,236169,X,X,38857,385278,1072649,11987,70786,X
T53,8732702,54515,598175,18377,55815,93928,0,X,X,X,34148,X,X,5261,X,1011,X,52731,145122,410279,X,X,X,24973,46593,42134,18,167471,3289,68605,X,X,749782,X,1892,1517134,45256,441971,15293,X,X,X,10176,1261,3282673,29589,X,2583,35055,321031,10151,446410
T99,2746722,0,0,49321,27944,79323,0,274,1137,55448,0,171864,0,3150,0,0,0,0,0,0,0,202416,0,0,50051,0,59,3597,0,575233,0,1,0,1340028,0,0,0,0,0,21865,0,0,0,18734,0,0,4718,122437,0,0,14549,4573
