item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,19033861,395930,120805,993615,1137886,2681872,X,X,X,2536634,X,989218,X,X,63283,12251,1840,683827,709772,70366,38643,777064,6598,2124075,854945,27099,31643,277615,123,300490,405186,4761,81694,X,X,4401,X,X,20065,43360,2633,37518,X,X,X,X,1056635,31232,2097507,7248,132022,274005
T09,304972277,2654883,X,7237044,3384394,38717703,2978382,4236619,X,1418935,25346166,5729916,3239225,1650498,11363366,7556326,3205997,3209506,3490639,4215378,1441867,4609538,6240822,9986926,5888795,3483438,3604570,X,1835037,4756243,X,9591881,2258767,14132141,7656898,872176,12512755,2465383,X,10509734,996390,3285007,1065361,7260193,32490144,2390421,375870,3970133,14509841,1334168,5223935,588866
T10,6591505,217790,40097,74126,55831,370714,44866,63155,20577,6641,323393,193438,51167,9468,294304,49403,22535,137801,146227,77107,19266,32151,85397,159378,88222,41818,37863,35558,30911,45011,12678,137757,7376,257690,394838,8872,107060,118260,18796,386816,20873,177317,16933,187125,1228641,50002,26028,224426,354939,17782,61203,1878
T11,7851912,0,10668,4026,60380,X,117218,297003,X,X,207144,X,X,X,835445,596918,300172,313,174,698306,54400,847455,65744,113048,63870,132948,366839,59965,5780,919642,538,218650,60619,2930,7,3161,261950,20764,X,1406354,X,38814,8853,X,29745,X,X,84,2800,38958,227,X
T12,21007759,339719,62500,536820,213212,2422105,256212,199497,100144,110392,959339,480154,170118,91985,418582,235171,113469,310420,153728,813975,95943,516533,397519,276953,486403,324900,432560,107321,54350,359741,108013,579642,227464,1381080,517095,63558,629684,304448,68481,808250,120587,228259,66496,912324,2325941,136310,59895,479192,603963,120163,202387,24762
T13,45024717,588992,45944,856495,487517,4842749,653790,484479,129487,26098,2727802,1741092,87026,353548,1348414,854529,674603,458008,701440,634883,252870,1078313,769442,1118262,912644,445361,720849,231065,354234,326425,152086,532878,242627,1647240,1922400,189718,1984392,473960,529658,3143576,90990,583476,189133,915858,3585179,500948,81020,997561,1812646,383874,1044996,114140
T14,118537,1226,X,129,2497,14743,625,5788,63,X,7800,X,X,637,6131,1866,3484,X,6643,4659,1479,1182,902,3487,863,X,X,179,154,3,633,X,842,16396,X,1728,5525,1064,1928,10381,1122,X,319,X,6321,X,X,X,1805,2611,131,3191
T15,12435763,688756,4370,22325,X,728045,X,283433,53798,187667,1972968,X,122159,2152,1527274,193613,31386,378,58298,9110,21944,138251,X,35261,54,1578,X,43468,44297,24676,53427,984612,30633,811992,259,46595,1147894,42267,11206,1235942,97711,28278,3103,7398,614565,24351,8589,118088,504117,107719,357757,3999
T16,18663336,188783,67555,310706,228540,852894,199989,381778,112349,29530,1197666,220774,124160,50883,781528,434331,220938,138698,243096,174001,144243,386965,619437,1038594,681018,144792,100391,83608,56954,195371,203102,697577,77887,1265699,292138,28977,1109777,320200,247406,1401259,140074,26383,61809,256762,1467486,117514,76686,171198,430022,194647,644478,22683
T19,42246737,567145,31986,172622,269497,3411247,1026001,1039714,140072,86071,1347651,443816,572001,72585,2054850,1091192,40501,46635,849463,143548,133130,1632372,629986,1582234,2485766,375369,140864,59071,25797,296172,428907,1420272,151052,5847415,915067,134643,983977,18506,646315,1271184,224035,269815,105849,471305,5149330,188484,430481,955415,953448,472965,437845,3069
