item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,20020990,406288,122341,1047254,1188905,2837386,X,X,X,2621626,X,927590,X,X,59589,12927,1671,714895,660902,60172,39308,808763,7197,2182188,818513,29540,33267,300258,129,317136,408769,5016,84224,X,X,4549,X,X,20116,34399,2704,37298,X,X,X,X,1065767,31890,2769520,7316,101424,250153
T09,322525928,2786833,X,7687992,3498073,39682734,3211909,4370749,X,1493101,29562900,5938448,3529065,1790830,11336866,7795091,3279789,3304091,3600598,4252693,1529113,4716179,6490305,9595949,5830256,3557752,3686274,X,1900037,5095689,X,10459419,2073118,14820163,7931756,912532,12148485,2855176,X,10920832,1048957,3303220,1103624,8944366,36129876,2784489,397691,4076636,15643017,1311930,5448118,689207
T10,6743501,214615,39217,76378,58036,381670,46989,63211,26556,6560,293098,195696,51383,9710,296162,51578,22183,142126,145648,75774,19647,31682,85843,165758,91745,40883,38932,36502,31230,45340,12828,142459,23811,258327,411971,8819,104977,122247,18404,397092,19918,179115,18939,201713,1321516,7959,26892,231250,370738,17576,60878,1920
T11,8169039,0,11002,3621,64580,X,124714,300740,X,X,207460,X,X,X,888260,602410,303374,304,196,708462,56264,1022368,70467,115424,75597,129880,369410,60336,5815,915531,530,217736,63138,2848,76,3139,270480,26429,X,1429632,X,39774,9135,X,30023,X,X,84,4434,35152,214,X
T12,22495592,376766,62429,550438,223362,2569271,262411,198166,110292,115290,1084872,505054,165602,97359,456406,236175,114363,408321,165161,870872,99654,541758,406251,393367,519547,338576,464418,107646,62662,395701,111972,591243,213597,1623191,589037,63274,582794,327995,70903,836186,81519,239215,92488,970831,2445005,147452,59370,516743,630657,169607,206842,23481
T13,48452553,648639,47149,869183,492945,6351756,675962,487327,131864,26268,2799610,1801798,88377,362234,1367939,1420135,671937,461075,702651,631641,250468,1084195,769144,1473002,936893,436245,717894,258958,373889,343386,183366,458892,230303,1636749,1974782,196649,1912191,485276,533976,3375429,79858,646581,187424,1086693,3710307,557490,125282,1031034,1713782,419528,1110775,113622
T14,127232,1146,X,183,2335,15871,525,5602,67,X,8352,X,X,884,6387,1760,3818,X,7704,5191,1435,1175,887,2855,1192,X,X,226,138,3,539,X,842,21310,X,1498,5185,1085,1729,10182,1074,X,177,X,6510,X,X,X,1724,2704,239,4698
T15,12976650,747657,4819,21805,X,688489,X,261184,53228,179065,2387900,X,117641,2592,1439894,202149,39039,373,61126,9349,21573,145437,X,36823,54,1496,X,44497,44942,46300,48987,978816,31747,877490,322,49663,898003,45058,14891,1155009,59651,29003,3510,8520,630057,45800,8878,553065,500703,115003,360149,4893
T16,19403934,179929,55500,312808,226728,2428121,193881,376814,123026,27956,1172492,224910,120386,51141,764296,418810,212469,130247,228749,163770,132950,372724,594173,920907,593410,139733,97408,80530,57123,177161,212698,660315,78368,1151660,292143,28001,941105,313411,263860,1372695,146691,27199,59158,248673,1440336,116727,71078,160383,422264,177840,619101,22076
T19,47675551,579222,32854,186286,268924,5227196,1195852,1492283,140612,81928,939931,467059,659578,68977,2143567,1391450,40101,48272,802594,146971,139189,1651726,605292,1694284,2566114,386289,164891,66339,26184,310345,454982,1915627,159883,6007581,1013365,131928,1485281,16834,756241,1537195,244353,484071,110634,357107,5748579,197908,448459,1119107,1040201,477666,441339,2900
