item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T20,714220,4032,1433,8592,6128,60519,9102,13968,1816,5691,6418,4103,X,1721,18160,12726,16456,3647,6473,X,6237,1524,3702,18764,2765,1252,5478,2275,707,X,17991,4199,0,66675,26757,395,43804,1037,4868,51644,92,12600,1222,1862,78742,5597,469,14591,152625,3444,1917,X
T21,759038,X,0,X,488,20583,728,230,321,X,16000,X,X,258,15918,5792,30314,6993,279,X,536,1953,15767,X,1144,26515,28,4714,710,82640,365,50100,6365,X,222,1088,34850,168006,2799,215406,202,6389,6353,283,16387,X,23,107,13914,3672,596,X
T22,6014792,152538,X,30716,29673,80029,21265,30705,1378003,36217,263623,59608,1818,2962,342729,8582,34590,28187,115618,148116,11095,119084,25701,26675,9045,137989,2200,4920,16086,78782,67236,248405,32175,2746,757312,X,262524,58897,44091,5717,4910,110199,5984,920053,152899,497,3686,61904,41834,737,22225,14205
T23,1653563,21451,35608,37005,26672,112138,76251,5754,3759,81,16629,35418,665,46428,39534,19495,28200,32780,30531,31994,16578,17207,5637,60404,66634,2703,33692,64067,15906,12144,11899,14685,31802,41964,33282,15286,36260,20494,55387,76245,1844,18898,28690,36730,110770,31299,7294,25836,42450,12325,67571,37187
T24,27826955,220483,36258,230095,164617,4635040,597097,238351,58969,39514,1449604,395140,191757,195431,1618750,321055,664178,222978,211646,79284,112557,501417,444827,1337873,800981,158283,296849,168827,113733,198263,82270,657956,200727,1411790,853879,118080,787276,736979,539474,1183964,29352,274093,83369,357692,2358248,224833,72957,400957,1129671,4498,523370,91663
T25,2762736,33425,X,29922,22631,281045,41794,38308,5838,6074,165332,114915,306,10341,116118,252033,21833,31881,16795,15477,10816,27929,101432,58345,45796,14362,17596,7883,11538,28099,8508,57214,5004,93205,121032,5049,80227,31733,39758,72896,4865,4486,5676,59648,141892,16772,11972,134838,135270,160076,40593,4158
T27,1327423,14146,10671,20,8346,752340,13742,X,485,X,24424,X,15001,58067,15016,X,9865,5857,X,7577,X,X,X,35745,785,6583,19628,17,X,X,23555,21812,1529,28196,19114,3,34222,5,14577,56798,2070,10670,X,6039,22456,X,X,660,21148,449,65805,X
T28,14612917,75914,65553,173274,149452,4535825,56774,58896,117494,58429,171749,81296,53544,47431,552696,51828,146470,98132,112292,106475,113492,179997,301510,212035,484398,81682,142822,110183,36475,256769,216120,485902,44871,125822,348322,74562,875280,727,381707,1038215,61959,126871,135433,372981,609900,56433,25674,191195,357370,31582,378795,40309
T29,1555250,1,4113,1633,1849,27002,79,4604,8242,52924,9683,28942,12509,4539,32558,77603,2597,2774,5540,4206,9844,1802,256143,195778,64680,63046,77874,16312,1060,4543,7600,1940,0,1231,36606,0,47593,779,6651,21094,5505,18088,25169,8459,143730,7263,4329,61597,176649,2220,6267,0
T40,395740284,3912800,X,4545242,2866175,95152230,7510366,9724449,1652335,2066842,X,11643781,2430032,1835864,17282737,8474919,3897236,3413677,4499086,3246226,1605096,9507776,16280331,10166720,11882330,1852937,6510224,1304315,2360596,X,105759,15037845,1071125,51501337,12609608,367635,8698901,3260447,8879552,12800890,1329152,4432104,X,246508,X,4661910,819330,14105766,X,1950571,8237522,X
T41,49018871,577516,196321,373076,390756,12488304,782679,770941,254802,574745,2426900,1004298,146831,240809,3319420,698725,443187,437967,749500,358208,185737,1033175,2408947,971032,1357004,437407,333724,175954,313690,X,790011,2235653,111297,3079974,742512,107277,9046,234817,804453,2486379,118118,404164,32376,1644159,X,460657,110819,1165610,X,110068,919826,X
T50,5110224,X,X,X,0,577,X,188180,4425,35708,1927,0,29351,X,382081,409,82600,0,48248,X,13801,214378,472956,16,214698,0,54,X,X,X,X,605845,X,1307841,10735,X,213,0,176453,982470,103048,X,X,0,X,X,22935,932,208610,X,1733,0
T51,10094297,46014,X,18263,44892,X,X,200486,146774,472444,2916100,0,100605,X,80309,X,22210,X,3480,X,35242,241668,308291,350280,234141,X,12331,X,17207,111422,154903,513967,X,1269623,79982,X,X,21112,1772,625056,12752,126174,187,251574,X,X,38366,386598,1161436,12036,76600,X
T53,12628870,56162,931084,24562,54655,108912,102722,X,X,X,36200,X,X,5463,X,1074,X,52213,122972,435228,X,X,X,32548,49623,47418,2,185397,3236,155938,X,X,1042547,X,1913,2115757,66120,699937,15682,X,X,X,8000,1025,5231610,42015,X,3327,41307,411895,10667,531659
T99,2954644,0,0,81792,29062,0,0,510,1149,58923,0,174454,0,2928,0,0,0,0,0,0,0,203120,0,36,50124,0,74,3824,0,581844,0,0,32856,1540378,0,0,0,77577,0,24120,0,0,0,18964,0,317,5289,41736,0,5396,14901,5270
